"Lake","Month","Date_Sam","Genus","RelAbund"
"Lake Mohegan","August","8-12_LM","Isotomurus",0
"Lake Mohegan","August","8-12_LM","Laimydorus",0
"Lake Mohegan","August","8-12_LM","Lepidodermella",0
"Lake Mohegan","August","8-12_LM","Macquaria",0
"Lake Mohegan","August","8-12_LM","Macrocyclops",0
"Lake Mohegan","August","8-12_LM","Mesocyclops",0
"Lake Mohegan","August","8-12_LM","Microstomum",0
"Lake Mohegan","August","8-12_LM","Monopisthocotylea",0
"Lake Mohegan","August","8-12_LM","Nais",0
"Lake Mohegan","August","8-12_LM","Oripoda",0
"Lake Mohegan","August","8-12_LM","Pectinatella",0
"Lake Mohegan","August","8-12_LM","Physella",0
"Lake Mohegan","August","8-12_LM","Planorbarius",0
"Lake Mohegan","August","8-12_LM","Plumatella",0
"Lake Mohegan","August","8-12_LM","Pristina",0
"Lake Mohegan","August","8-12_LM","Rhabdolaimus",0
"Lake Mohegan","August","8-12_LM","Scapholeberis",0
"Lake Mohegan","August","8-12_LM","Simocephalus",0
"Lake Mohegan","August","8-12_LM","Sinella",0
"Lake Mohegan","August","8-12_LM","Skistodiaptomus",0.0280373831775701
"Lake Mohegan","August","8-12_LM","Spinileberis",0
"Lake Mohegan","August","8-12_LM","Spongilla",0
"Lake Mohegan","August","8-12_LM","Stenostomum",0
"Lake Mohegan","August","8-12_LM","Sympetrum",0
"Lake Mohegan","August","8-12_LM","Tobrilus",0
"Lake Mohegan","August","8-12_LM","Tropocyclops",0
"Lake Mohegan","August","8-12_LM","Tylocephalus",0
"Lake Mohegan","August","8-12_LM","Vestalenula",0
"Lake Mohegan","August","8-12_LM","Wilsonema",0
"Lake Mohegan","August","8-18_LM","Aaroniella",0
"Lake Mohegan","August","8-18_LM","Acanthocyclops",0
"Lake Mohegan","August","8-18_LM","Acroperus",0
"Lake Mohegan","August","8-18_LM","Alonopsis",0
"Lake Mohegan","August","8-18_LM","Anopheles",0
"Lake Mohegan","August","8-18_LM","Bosmina",0
"Lake Mohegan","August","8-18_LM","Castrada",0
"Lake Mohegan","August","8-18_LM","Castrella",0
"Lake Mohegan","August","8-18_LM","Chaetogaster",0
"Lake Mohegan","August","8-18_LM","Chaetonotus",0.343096234309623
"Lake Mohegan","August","8-18_LM","Chironomus",0
"Lake Mohegan","August","8-18_LM","Chrysemys",0
"Lake Mohegan","August","8-18_LM","Chydorus",0
"Lake Mohegan","August","8-18_LM","Corethrella",0
"Lake Mohegan","August","8-18_LM","Cypria",0
"Lake Mohegan","August","8-18_LM","Cypridopsis",0.0251046025104603
"Lake Mohegan","August","8-18_LM","Daphnia",0
"Lake Mohegan","August","8-18_LM","Darwinula",0
"Lake Mohegan","August","8-18_LM","Dero",0
"Lake Mohegan","August","8-18_LM","Diaphanosoma",0
"Lake Mohegan","August","8-18_LM","Eucyclops",0
"Lake Mohegan","August","8-18_LM","Eudiaptomus",0.616457461645746
"Lake Mohegan","August","8-18_LM","Eumonhystera",0
"Lake Mohegan","August","8-18_LM","Ferrissia",0
"Lake Mohegan","August","8-18_LM","Folsomia",0
"Lake Mohegan","August","8-18_LM","Gallus",0
"Lake Mohegan","August","8-18_LM","Gyratrix",0
"Lake Mohegan","August","8-18_LM","Halichaetonotus",0
"Lake Mohegan","August","8-18_LM","Heterolepidoderma",0
"Lake Mohegan","August","8-18_LM","Horreolanus",0
"Lake Mohegan","August","8-18_LM","Hydra",0
"Lake Mohegan","August","8-18_LM","Ichthydium",0
"Lake Mohegan","August","8-18_LM","Isotoma",0
"Lake Mohegan","August","8-18_LM","Isotomurus",0
"Lake Mohegan","August","8-18_LM","Laimydorus",0
"Lake Mohegan","August","8-18_LM","Lepidodermella",0
"Lake Mohegan","August","8-18_LM","Macquaria",0
"Lake Mohegan","August","8-18_LM","Macrocyclops",0
"Lake Mohegan","August","8-18_LM","Mesocyclops",0
"Lake Mohegan","August","8-18_LM","Microstomum",0
"Lake Mohegan","August","8-18_LM","Monopisthocotylea",0
"Lake Mohegan","August","8-18_LM","Nais",0
"Lake Mohegan","August","8-18_LM","Oripoda",0
"Lake Mohegan","August","8-18_LM","Pectinatella",0
"Lake Mohegan","August","8-18_LM","Physella",0
"Lake Mohegan","August","8-18_LM","Planorbarius",0
"Lake Mohegan","August","8-18_LM","Plumatella",0
"Lake Mohegan","August","8-18_LM","Pristina",0
"Lake Mohegan","August","8-18_LM","Rhabdolaimus",0
"Lake Mohegan","August","8-18_LM","Scapholeberis",0
"Lake Mohegan","August","8-18_LM","Simocephalus",0
"Lake Mohegan","August","8-18_LM","Sinella",0
"Lake Mohegan","August","8-18_LM","Skistodiaptomus",0
"Lake Mohegan","August","8-18_LM","Spinileberis",0
"Lake Mohegan","August","8-18_LM","Spongilla",0
"Lake Mohegan","August","8-18_LM","Stenostomum",0
"Lake Mohegan","August","8-18_LM","Sympetrum",0
"Lake Mohegan","August","8-18_LM","Tobrilus",0
"Lake Mohegan","August","8-18_LM","Tropocyclops",0.0153417015341702
"Lake Mohegan","August","8-18_LM","Tylocephalus",0
"Lake Mohegan","August","8-18_LM","Vestalenula",0
"Lake Mohegan","August","8-18_LM","Wilsonema",0
"Lake Mohegan","August","8-26_LM","Aaroniella",0
"Lake Mohegan","August","8-26_LM","Acanthocyclops",0
"Lake Mohegan","August","8-26_LM","Acroperus",0
"Lake Mohegan","August","8-26_LM","Alonopsis",0
"Lake Mohegan","August","8-26_LM","Anopheles",0.00491137205875787
"Lake Mohegan","August","8-26_LM","Bosmina",0
"Lake Mohegan","August","8-26_LM","Castrada",0
"Lake Mohegan","August","8-26_LM","Castrella",0.000669732553466982
"Lake Mohegan","August","8-26_LM","Chaetogaster",0
"Lake Mohegan","August","8-26_LM","Chaetonotus",0.0076349511095236
"Lake Mohegan","August","8-26_LM","Chironomus",0
"Lake Mohegan","August","8-26_LM","Chrysemys",0
"Lake Mohegan","August","8-26_LM","Chydorus",0
"Lake Mohegan","August","8-26_LM","Corethrella",0
"Lake Mohegan","August","8-26_LM","Cypria",0
"Lake Mohegan","August","8-26_LM","Cypridopsis",0.936821895789615
"Lake Mohegan","August","8-26_LM","Daphnia",0
"Lake Mohegan","August","8-26_LM","Darwinula",0
"Lake Mohegan","August","8-26_LM","Dero",0
"Lake Mohegan","August","8-26_LM","Diaphanosoma",0
"Lake Mohegan","August","8-26_LM","Eucyclops",0.0232620440237532
"Lake Mohegan","August","8-26_LM","Eudiaptomus",0.0204045184622941
"Lake Mohegan","August","8-26_LM","Eumonhystera",0
"Lake Mohegan","August","8-26_LM","Ferrissia",0
"Lake Mohegan","August","8-26_LM","Folsomia",0
"Lake Mohegan","August","8-26_LM","Gallus",0
"Lake Mohegan","August","8-26_LM","Gyratrix",0
"Lake Mohegan","August","8-26_LM","Halichaetonotus",0
"Lake Mohegan","August","8-26_LM","Heterolepidoderma",0
"Lake Mohegan","August","8-26_LM","Horreolanus",0
"Lake Mohegan","August","8-26_LM","Hydra",0
"Lake Mohegan","August","8-26_LM","Ichthydium",0
"Lake Mohegan","August","8-26_LM","Isotoma",0
"Lake Mohegan","August","8-26_LM","Isotomurus",0
"Lake Mohegan","August","8-26_LM","Laimydorus",0
"Lake Mohegan","August","8-26_LM","Lepidodermella",0.00147341161762736
"Lake Mohegan","August","8-26_LM","Macquaria",0
"Lake Mohegan","August","8-26_LM","Macrocyclops",0.00218779300799214
"Lake Mohegan","August","8-26_LM","Mesocyclops",0
"Lake Mohegan","August","8-26_LM","Microstomum",0
"Lake Mohegan","August","8-26_LM","Monopisthocotylea",0
"Lake Mohegan","August","8-26_LM","Nais",0
"Lake Mohegan","August","8-26_LM","Oripoda",0
"Lake Mohegan","August","8-26_LM","Pectinatella",0
"Lake Mohegan","August","8-26_LM","Physella",0
"Lake Mohegan","August","8-26_LM","Planorbarius",0
"Lake Mohegan","August","8-26_LM","Plumatella",0.00263428137697013
"Lake Mohegan","August","8-26_LM","Pristina",0
"Lake Mohegan","August","8-26_LM","Rhabdolaimus",0
"Lake Mohegan","August","8-26_LM","Scapholeberis",0
"Lake Mohegan","August","8-26_LM","Simocephalus",0
"Lake Mohegan","August","8-26_LM","Sinella",0
"Lake Mohegan","August","8-26_LM","Skistodiaptomus",0
"Lake Mohegan","August","8-26_LM","Spinileberis",0
"Lake Mohegan","August","8-26_LM","Spongilla",0
"Lake Mohegan","August","8-26_LM","Stenostomum",0
"Lake Mohegan","August","8-26_LM","Sympetrum",0
"Lake Mohegan","August","8-26_LM","Tobrilus",0
"Lake Mohegan","August","8-26_LM","Tropocyclops",0
"Lake Mohegan","August","8-26_LM","Tylocephalus",0
"Lake Mohegan","August","8-26_LM","Vestalenula",0
"Lake Mohegan","August","8-26_LM","Wilsonema",0
"Lake Mohegan","July","7-08_LM","Aaroniella",0
"Lake Mohegan","July","7-08_LM","Acanthocyclops",0
"Lake Mohegan","July","7-08_LM","Acroperus",0
"Lake Mohegan","July","7-08_LM","Alonopsis",0
"Lake Mohegan","July","7-08_LM","Anopheles",0
"Lake Mohegan","July","7-08_LM","Bosmina",0
"Lake Mohegan","July","7-08_LM","Castrada",0
"Lake Mohegan","July","7-08_LM","Castrella",0
"Lake Mohegan","July","7-08_LM","Chaetogaster",0
"Lake Mohegan","July","7-08_LM","Chaetonotus",0.0755873340143003
"Lake Mohegan","July","7-08_LM","Chironomus",0
"Lake Mohegan","July","7-08_LM","Chrysemys",0
"Lake Mohegan","July","7-08_LM","Chydorus",0
"Lake Mohegan","July","7-08_LM","Corethrella",0
"Lake Mohegan","July","7-08_LM","Cypria",0
"Lake Mohegan","July","7-08_LM","Cypridopsis",0.771807967313585
"Lake Mohegan","July","7-08_LM","Daphnia",0.000204290091930541
"Lake Mohegan","July","7-08_LM","Darwinula",0
"Lake Mohegan","July","7-08_LM","Dero",0
"Lake Mohegan","July","7-08_LM","Diaphanosoma",0
"Lake Mohegan","July","7-08_LM","Eucyclops",0.0416751787538304
"Lake Mohegan","July","7-08_LM","Eudiaptomus",0.103983656792646
"Lake Mohegan","July","7-08_LM","Eumonhystera",0
"Lake Mohegan","July","7-08_LM","Ferrissia",0
"Lake Mohegan","July","7-08_LM","Folsomia",0
"Lake Mohegan","July","7-08_LM","Gallus",0
"Lake Mohegan","July","7-08_LM","Gyratrix",0
"Lake Mohegan","July","7-08_LM","Halichaetonotus",0
"Lake Mohegan","July","7-08_LM","Heterolepidoderma",0
"Lake Mohegan","July","7-08_LM","Horreolanus",0
"Lake Mohegan","July","7-08_LM","Hydra",0
"Lake Mohegan","July","7-08_LM","Ichthydium",0
"Lake Mohegan","July","7-08_LM","Isotoma",0
"Lake Mohegan","July","7-08_LM","Isotomurus",0
"Lake Mohegan","July","7-08_LM","Laimydorus",0
"Lake Mohegan","July","7-08_LM","Lepidodermella",0
"Lake Mohegan","July","7-08_LM","Macquaria",0
"Lake Mohegan","July","7-08_LM","Macrocyclops",0
"Lake Mohegan","July","7-08_LM","Mesocyclops",0
"Lake Mohegan","July","7-08_LM","Microstomum",0
"Lake Mohegan","July","7-08_LM","Monopisthocotylea",0
"Lake Mohegan","July","7-08_LM","Nais",0
"Lake Mohegan","July","7-08_LM","Oripoda",0
"Lake Mohegan","July","7-08_LM","Pectinatella",0
"Lake Mohegan","July","7-08_LM","Physella",0
"Lake Mohegan","July","7-08_LM","Planorbarius",0
"Lake Mohegan","July","7-08_LM","Plumatella",0
"Lake Mohegan","July","7-08_LM","Pristina",0
"Lake Mohegan","July","7-08_LM","Rhabdolaimus",0
"Lake Mohegan","July","7-08_LM","Scapholeberis",0
"Lake Mohegan","July","7-08_LM","Simocephalus",0
"Lake Mohegan","July","7-08_LM","Sinella",0
"Lake Mohegan","July","7-08_LM","Skistodiaptomus",0
"Lake Mohegan","July","7-08_LM","Spinileberis",0
"Lake Mohegan","July","7-08_LM","Spongilla",0
"Lake Mohegan","July","7-08_LM","Stenostomum",0.00674157303370787
"Lake Mohegan","July","7-08_LM","Sympetrum",0
"Lake Mohegan","July","7-08_LM","Tobrilus",0
"Lake Mohegan","July","7-08_LM","Tropocyclops",0
"Lake Mohegan","July","7-08_LM","Tylocephalus",0
"Lake Mohegan","July","7-08_LM","Vestalenula",0
"Lake Mohegan","July","7-08_LM","Wilsonema",0
"Lake Mohegan","July","7-14_LM","Aaroniella",0
"Lake Mohegan","July","7-14_LM","Acanthocyclops",0.00246696035242291
"Lake Mohegan","July","7-14_LM","Acroperus",0
"Lake Mohegan","July","7-14_LM","Alonopsis",0
"Lake Mohegan","July","7-14_LM","Anopheles",0
"Lake Mohegan","July","7-14_LM","Bosmina",0.0117180616740088
"Lake Mohegan","July","7-14_LM","Castrada",0
"Lake Mohegan","July","7-14_LM","Castrella",0.00123348017621145
"Lake Mohegan","July","7-14_LM","Chaetogaster",0
"Lake Mohegan","July","7-14_LM","Chaetonotus",0.0118942731277533
"Lake Mohegan","July","7-14_LM","Chironomus",0
"Lake Mohegan","July","7-14_LM","Chrysemys",0
"Lake Mohegan","July","7-14_LM","Chydorus",0
"Lake Mohegan","July","7-14_LM","Corethrella",0
"Lake Mohegan","July","7-14_LM","Cypria",0
"Lake Mohegan","July","7-14_LM","Cypridopsis",0.3184140969163
"Lake Mohegan","July","7-14_LM","Daphnia",0
"Lake Mohegan","July","7-14_LM","Darwinula",0
"Lake Mohegan","July","7-14_LM","Dero",0
"Lake Mohegan","July","7-14_LM","Diaphanosoma",0
"Lake Mohegan","July","7-14_LM","Eucyclops",0.00484581497797357
"Lake Mohegan","July","7-14_LM","Eudiaptomus",0.130660792951542
"Lake Mohegan","July","7-14_LM","Eumonhystera",0
"Lake Mohegan","July","7-14_LM","Ferrissia",0
"Lake Mohegan","July","7-14_LM","Folsomia",0
"Lake Mohegan","July","7-14_LM","Gallus",0
"Lake Mohegan","July","7-14_LM","Gyratrix",0
"Lake Mohegan","July","7-14_LM","Halichaetonotus",0
"Lake Mohegan","July","7-14_LM","Heterolepidoderma",0
"Lake Mohegan","July","7-14_LM","Horreolanus",0.498061674008811
"Lake Mohegan","July","7-14_LM","Hydra",0
"Lake Mohegan","July","7-14_LM","Ichthydium",0
"Lake Mohegan","July","7-14_LM","Isotoma",0.00026431718061674
"Lake Mohegan","July","7-14_LM","Isotomurus",0
"Lake Mohegan","July","7-14_LM","Laimydorus",0.0109251101321586
"Lake Mohegan","July","7-14_LM","Lepidodermella",0.00405286343612335
"Lake Mohegan","July","7-14_LM","Macquaria",0
"Lake Mohegan","July","7-14_LM","Macrocyclops",0.000440528634361233
"Lake Mohegan","July","7-14_LM","Mesocyclops",0
"Lake Mohegan","July","7-14_LM","Microstomum",0
"Lake Mohegan","July","7-14_LM","Monopisthocotylea",0
"Lake Mohegan","July","7-14_LM","Nais",0
"Lake Mohegan","July","7-14_LM","Oripoda",0
"Lake Mohegan","July","7-14_LM","Pectinatella",0
"Lake Mohegan","July","7-14_LM","Physella",0
"Lake Mohegan","July","7-14_LM","Planorbarius",0
"Lake Mohegan","July","7-14_LM","Plumatella",0
"Lake Mohegan","July","7-14_LM","Pristina",0
"Lake Mohegan","July","7-14_LM","Rhabdolaimus",0
"Lake Mohegan","July","7-14_LM","Scapholeberis",0
"Lake Mohegan","July","7-14_LM","Simocephalus",0
"Lake Mohegan","July","7-14_LM","Sinella",0
"Lake Mohegan","July","7-14_LM","Skistodiaptomus",0.00502202643171806
"Lake Mohegan","July","7-14_LM","Spinileberis",0
"Lake Mohegan","July","7-14_LM","Spongilla",0
"Lake Mohegan","July","7-14_LM","Stenostomum",0
"Lake Mohegan","July","7-14_LM","Sympetrum",0
"Lake Mohegan","July","7-14_LM","Tobrilus",0
"Lake Mohegan","July","7-14_LM","Tropocyclops",0
"Lake Mohegan","July","7-14_LM","Tylocephalus",0
"Lake Mohegan","July","7-14_LM","Vestalenula",0
"Lake Mohegan","July","7-14_LM","Wilsonema",0
"Lake Mohegan","July","7-18_LM","Aaroniella",0
"Lake Mohegan","July","7-18_LM","Acanthocyclops",0
"Lake Mohegan","July","7-18_LM","Acroperus",0
"Lake Mohegan","July","7-18_LM","Alonopsis",0
"Lake Mohegan","July","7-18_LM","Anopheles",0
"Lake Mohegan","July","7-18_LM","Bosmina",0
"Lake Mohegan","July","7-18_LM","Castrada",0
"Lake Mohegan","July","7-18_LM","Castrella",0.000543928719436386
"Lake Mohegan","July","7-18_LM","Chaetogaster",0
"Lake Mohegan","July","7-18_LM","Chaetonotus",0.00254696781323387
"Lake Mohegan","July","7-18_LM","Chironomus",0
"Lake Mohegan","July","7-18_LM","Chrysemys",0
"Lake Mohegan","July","7-18_LM","Chydorus",0
"Lake Mohegan","July","7-18_LM","Corethrella",0
"Lake Mohegan","July","7-18_LM","Cypria",0
"Lake Mohegan","July","7-18_LM","Cypridopsis",0.992730349495787
"Lake Mohegan","July","7-18_LM","Daphnia",0
"Lake Mohegan","July","7-18_LM","Darwinula",0
"Lake Mohegan","July","7-18_LM","Dero",0.000164041994750656
"Lake Mohegan","July","7-18_LM","Diaphanosoma",0
"Lake Mohegan","July","7-18_LM","Eucyclops",0.000569830087028595
"Lake Mohegan","July","7-18_LM","Eudiaptomus",0
"Lake Mohegan","July","7-18_LM","Eumonhystera",0
"Lake Mohegan","July","7-18_LM","Ferrissia",0
"Lake Mohegan","July","7-18_LM","Folsomia",0
"Lake Mohegan","July","7-18_LM","Gallus",0
"Lake Mohegan","July","7-18_LM","Gyratrix",0
"Lake Mohegan","July","7-18_LM","Halichaetonotus",0
"Lake Mohegan","July","7-18_LM","Heterolepidoderma",0
"Lake Mohegan","July","7-18_LM","Horreolanus",2.59013675922089e-05
"Lake Mohegan","July","7-18_LM","Hydra",0
"Lake Mohegan","July","7-18_LM","Ichthydium",0
"Lake Mohegan","July","7-18_LM","Isotoma",0
"Lake Mohegan","July","7-18_LM","Isotomurus",0
"Lake Mohegan","July","7-18_LM","Laimydorus",0
"Lake Mohegan","July","7-18_LM","Lepidodermella",0
"Lake Mohegan","July","7-18_LM","Macquaria",0
"Lake Mohegan","July","7-18_LM","Macrocyclops",0
"Lake Mohegan","July","7-18_LM","Mesocyclops",0
"Lake Mohegan","July","7-18_LM","Microstomum",0
"Lake Mohegan","July","7-18_LM","Monopisthocotylea",0
"Lake Mohegan","July","7-18_LM","Nais",0
"Lake Mohegan","July","7-18_LM","Oripoda",0
"Lake Mohegan","July","7-18_LM","Pectinatella",0
"Lake Mohegan","July","7-18_LM","Physella",0
"Lake Mohegan","July","7-18_LM","Planorbarius",0
"Lake Mohegan","July","7-18_LM","Plumatella",0
"Lake Mohegan","July","7-18_LM","Pristina",0
"Lake Mohegan","July","7-18_LM","Rhabdolaimus",0
"Lake Mohegan","July","7-18_LM","Scapholeberis",0
"Lake Mohegan","July","7-18_LM","Simocephalus",0
"Lake Mohegan","July","7-18_LM","Sinella",0
"Lake Mohegan","July","7-18_LM","Skistodiaptomus",0
"Lake Mohegan","July","7-18_LM","Spinileberis",0
"Lake Mohegan","July","7-18_LM","Spongilla",0
"Lake Mohegan","July","7-18_LM","Stenostomum",0.00341898052217157
"Lake Mohegan","July","7-18_LM","Sympetrum",0
"Lake Mohegan","July","7-18_LM","Tobrilus",0
"Lake Mohegan","July","7-18_LM","Tropocyclops",0
"Lake Mohegan","July","7-18_LM","Tylocephalus",0
"Lake Mohegan","July","7-18_LM","Vestalenula",0
"Lake Mohegan","July","7-18_LM","Wilsonema",0
"Lake Mohegan","July","7-22_LM","Aaroniella",0
"Lake Mohegan","July","7-22_LM","Acanthocyclops",0
"Lake Mohegan","July","7-22_LM","Acroperus",0
"Lake Mohegan","July","7-22_LM","Alonopsis",0
"Lake Mohegan","July","7-22_LM","Anopheles",0
"Lake Mohegan","July","7-22_LM","Bosmina",0.0240987207649567
"Lake Mohegan","July","7-22_LM","Castrada",0
"Lake Mohegan","July","7-22_LM","Castrella",0
"Lake Mohegan","July","7-22_LM","Chaetogaster",0
"Lake Mohegan","July","7-22_LM","Chaetonotus",0.00167980359219537
"Lake Mohegan","July","7-22_LM","Chironomus",0
"Lake Mohegan","July","7-22_LM","Chrysemys",0
"Lake Mohegan","July","7-22_LM","Chydorus",0
"Lake Mohegan","July","7-22_LM","Corethrella",0
"Lake Mohegan","July","7-22_LM","Cypria",0
"Lake Mohegan","July","7-22_LM","Cypridopsis",0.971443338932679
"Lake Mohegan","July","7-22_LM","Daphnia",0
"Lake Mohegan","July","7-22_LM","Darwinula",0
"Lake Mohegan","July","7-22_LM","Dero",0
"Lake Mohegan","July","7-22_LM","Diaphanosoma",0
"Lake Mohegan","July","7-22_LM","Eucyclops",0.00135676443985011
"Lake Mohegan","July","7-22_LM","Eudiaptomus",0
"Lake Mohegan","July","7-22_LM","Eumonhystera",0
"Lake Mohegan","July","7-22_LM","Ferrissia",0
"Lake Mohegan","July","7-22_LM","Folsomia",0
"Lake Mohegan","July","7-22_LM","Gallus",0
"Lake Mohegan","July","7-22_LM","Gyratrix",0
"Lake Mohegan","July","7-22_LM","Halichaetonotus",0
"Lake Mohegan","July","7-22_LM","Heterolepidoderma",0
"Lake Mohegan","July","7-22_LM","Horreolanus",0
"Lake Mohegan","July","7-22_LM","Hydra",0
"Lake Mohegan","July","7-22_LM","Ichthydium",0
"Lake Mohegan","July","7-22_LM","Isotoma",0
"Lake Mohegan","July","7-22_LM","Isotomurus",0
"Lake Mohegan","July","7-22_LM","Laimydorus",0
"Lake Mohegan","July","7-22_LM","Lepidodermella",0
"Lake Mohegan","July","7-22_LM","Macquaria",0
"Lake Mohegan","July","7-22_LM","Macrocyclops",0
"Lake Mohegan","July","7-22_LM","Mesocyclops",0
"Lake Mohegan","July","7-22_LM","Microstomum",0
"Lake Mohegan","July","7-22_LM","Monopisthocotylea",0
"Lake Mohegan","July","7-22_LM","Nais",0
"Lake Mohegan","July","7-22_LM","Oripoda",0
"Lake Mohegan","July","7-22_LM","Pectinatella",0
"Lake Mohegan","July","7-22_LM","Physella",0
"Lake Mohegan","July","7-22_LM","Planorbarius",0
"Lake Mohegan","July","7-22_LM","Plumatella",0
"Lake Mohegan","July","7-22_LM","Pristina",0
"Lake Mohegan","July","7-22_LM","Rhabdolaimus",0
"Lake Mohegan","July","7-22_LM","Scapholeberis",0
"Lake Mohegan","July","7-22_LM","Simocephalus",0
"Lake Mohegan","July","7-22_LM","Sinella",0
"Lake Mohegan","July","7-22_LM","Skistodiaptomus",0
