"ASV_ID","Module_Color","MM","p.MM","GS","p.GS","Class","Order","Family","Genus","Species","Taxa2","Trait"
"16S_ASV_1054","brown",0.737567737344259,7.49442047395067e-09,-0.274003833316674,0.0685486068928842,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"18S_ASV_1133","brown",0.635915851631426,2.67752657116458e-06,-0.273358023271973,0.0692295502553791,"Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydopodium","Chlamydopodium_sp.","Chlorophyta","stemp"
"16S_ASV_504","brown",0.772876060207692,4.94903142316215e-10,-0.271242762024607,0.0714974722432839,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_394","brown",0.591643768666153,1.86733862860416e-05,-0.270732559407774,0.0720531909848763,"Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA,"Fluviicola","stemp"
"16S_ASV_501","brown",0.761691934032232,1.23067740248194e-09,-0.265239994065147,0.078254249656376,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"18S_ASV_708","brown",0.363276777935073,0.0141748655384129,-0.256979590449795,0.0883601281955908,"Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlorococcum",NA,"Chlorophyta","stemp"
"16S_ASV_456","brown",0.625571043172391,4.33049318358268e-06,-0.252017580539935,0.0949015578623631,"Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA,"Fluviicola","stemp"
"16S_ASV_1059","brown",0.323932210011811,0.0299492354835506,-0.251818935709448,0.0951710151612697,"Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus-Limnoluna",NA,"Candidatus-Limnoluna","stemp"
"16S_ASV_128","brown",0.701716230024218,7.86453739681746e-08,-0.251305851945679,0.0958697370373358,"Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,NA,"stemp"
"16S_ASV_578","brown",0.628327795963598,3.81623762191893e-06,-0.243580948303303,0.106874882396795,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_469","brown",0.510588441654256,0.000338942475757399,-0.241162056532132,0.110512207741536,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_650","brown",0.538521469521742,0.000135618808454543,-0.240192744788049,0.111995957295567,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"18S_ASV_257","brown",0.603997188710054,1.11829817293161e-05,-0.23429397269346,0.121354119725794,NA,NA,NA,NA,NA,"Opisthokonta_Unclassified","stemp"
"16S_ASV_667","brown",0.340718336908874,0.0220042428839971,-0.23383965849955,0.122098615163458,"Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus",NA,"Algoriphagus","stemp"
"16S_ASV_1529","brown",0.331888089503938,0.0259290057566355,-0.2316737535533,0.125695348316348,"Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus-Limnoluna",NA,"Candidatus-Limnoluna","stemp"
"16S_ASV_825","brown",0.304983532349446,0.0416362448107231,-0.226314763484078,0.134936191483047,"Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus-Limnoluna",NA,"Candidatus-Limnoluna","stemp"
"16S_ASV_1018","brown",0.51519112693335,0.000293039147657214,-0.224173763701918,0.1387663201531,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_453","brown",0.577841849531805,3.23151558519394e-05,-0.216350378090925,0.153449759579016,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_199","brown",0.643169499753501,1.89095055589265e-06,-0.213578443896502,0.158916422272347,"Verrucomicrobiae",NA,NA,NA,NA,NA,"stemp"
"16S_ASV_784","brown",0.533785707771841,0.000159303329346748,-0.211231010856412,0.16365596198294,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"18S_ASV_679","brown",0.372232345398392,0.0118039402324599,-0.205695384437617,0.175237807216509,"Chrysophyceae","Chrysophyceae_env_clade-I","Chrysophyceae_env_clade-I_X","Chrysophyceae_env_clade-I_XX","Chrysophyceae_env_clade-I_XX_sp.","Stramenopiles","stemp"
"18S_ASV_983","brown",0.347522105802562,0.0193315903563996,-0.179331833742252,0.238506866825602,"Filosa-SarcomoNAdea","Glissomonadida","Bodomorphidae","Bodomorpha","Bodomorpha_minima","Rhizaria","stemp"
"16S_ASV_1212","brown",0.478573526435148,0.000882947642810883,-0.177457457739693,0.24353103838989,"Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus-Limnoluna",NA,"Candidatus-Limnoluna","stemp"
"16S_ASV_988","brown",0.550427035747994,8.95166512667253e-05,-0.176283647389642,0.246713644369858,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_854","brown",0.494486591856683,0.000555043622684138,-0.176185509242,0.24698099805047,"Actinobacteria","Frankiales","Sporichthyaceae","hgcI-clade",NA,"hgcI-clade","stemp"
"16S_ASV_1014","brown",0.466261879796249,0.00124563015420844,-0.174369434030989,0.2519637985543,"Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus-Limnoluna",NA,"Candidatus-Limnoluna","stemp"
"16S_ASV_630","brown",0.565400438272365,5.18890001771657e-05,-0.173623666526449,0.254029421625771,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_427","brown",0.53487910226452,0.000153524341716844,-0.158538452713846,0.298257420810169,"Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,"stemp"
"16S_ASV_195","brown",0.457322302629009,0.0015866808025,-0.149171301482377,0.328075000025113,"Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA,"Fluviicola","stemp"
"16S_ASV_547","brown",0.313100300417073,0.0362410283318034,0.143121392584127,0.348290119747952,"Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA,"Fluviicola","stemp"
"18S_ASV_932","brown",0.396433247757147,0.00701839014961679,-0.139945988554485,0.359199316536047,"Chlorophyceae","Sphaeropleales","Sphaeropleales_X","Scenedesmus","Scenedesmus_obliquus","Chlorophyta","stemp"
"16S_ASV_742","brown",0.425792300690079,0.0035440500644722,-0.137524536162884,0.36765585983094,"Actinobacteria","Frankiales","Sporichthyaceae","hgcI-clade",NA,"hgcI-clade","stemp"
"16S_ASV_373","brown",0.50345677257311,0.000422962703280731,-0.130540281454191,0.392709146626641,"Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",NA,"Chthoniobacter","stemp"
"16S_ASV_418","brown",0.636090306163335,2.65550186004319e-06,-0.127785168702729,0.402860048396052,"Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus-Limnoluna",NA,"Candidatus-Limnoluna","stemp"
"16S_ASV_293","brown",0.588492684619727,2.12111087749062e-05,-0.124927857298741,0.413545977457013,"Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",NA,"Chthoniobacter","stemp"
"16S_ASV_329","brown",0.612796632727715,7.65921154322664e-06,-0.123225281013196,0.419989555268505,"Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus-Limnoluna",NA,"Candidatus-Limnoluna","stemp"
"16S_ASV_497","brown",0.339134487034844,0.0226690182165735,-0.119446559662114,0.434492005085418,"Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA,NA,"stemp"
"16S_ASV_537","brown",0.418855682000957,0.00418765656280958,-0.114468041362188,0.454018115598666,"Actinobacteria","Frankiales","Sporichthyaceae","hgcI-clade",NA,"hgcI-clade","stemp"
"16S_ASV_586","brown",0.483526957191976,0.000765981631759145,0.109019514369866,0.47592336240581,"Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae",NA,NA,NA,"stemp"
"16S_ASV_638","brown",0.36954660253435,0.0124764505309767,-0.107501522594351,0.482124267869554,"Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus-Planktoluna",NA,"Candidatus-Planktoluna","stemp"
"16S_ASV_606","brown",0.650496537436877,1.3183701566522e-06,-0.106705729452615,0.485391882236122,"Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus-Limnoluna",NA,"Candidatus-Limnoluna","stemp"
"16S_ASV_783","brown",0.517046767475576,0.00027617893612529,-0.103372708301515,0.499202327385751,"Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA,"Pseudarcicella","stemp"
"16S_ASV_762","brown",0.477093923635038,0.000920854860600115,-0.08815524419069,0.564719767162276,"Alphaproteobacteria","Rhizobiales","Rhizobiales-Incertae-Sedis",NA,NA,NA,"stemp"
"16S_ASV_759","brown",0.294384314874419,0.049650936949412,-0.083226861187782,0.586760461305349,"Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus-Planktoluna",NA,"Candidatus-Planktoluna","stemp"
"16S_ASV_675","brown",0.380054050806203,0.01001916730579,0.0726354116081779,0.63537944069244,"Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhapis",NA,"Rhizorhapis","stemp"
"18S_ASV_143","brown",0.513461141381918,0.000309589089540862,0.0717821551291764,0.639366804538232,"Zygnemophyceae"," Zygnemophyceae"," ZygnemophyceaeX","Closterium","Closterium_sp.","Streptophyta","stemp"
"16S_ASV_1102","brown",0.577282151957382,3.30246885520715e-05,-0.0684980806659729,0.654806838734471,"Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium",NA,"Sediminibacterium","stemp"
"16S_ASV_473","brown",0.336153542009765,0.0239658681925285,0.0569274425672685,0.710312693623226,"Alphaproteobacteria","Rhizobiales","Rhizobiales-Incertae-Sedis",NA,NA,NA,"stemp"
"16S_ASV_505","brown",0.306458207741744,0.040610043151473,0.0567688150987144,0.711084857184333,"Alphaproteobacteria","Rhizobiales","Rhizobiales-Incertae-Sedis",NA,NA,NA,"stemp"
"16S_ASV_377","brown",0.45010723310246,0.00191991956307154,-0.0352096466892046,0.818388553254336,"Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA,"Fluviicola","stemp"
"16S_ASV_1297","brown",0.494370789460464,0.000556967371630519,-0.0341544827953637,0.823743476593043,"Cyanophyceae","Chroococcales","Microcystaceae","Microcystis",NA,"Microcystis","stemp"
"18S_ASV_1911","brown",0.372073375811274,0.0118428644796107,0.0327150009422913,0.831061539860772,"Peronosporomycetes","Peronosporomycetes","Peronosporales","Peronosporales_X","Peronosporales_X_sp.","Stramenopiles","stemp"
"16S_ASV_928","brown",0.505939450430544,0.000391795886923053,-0.0230065673374178,0.880757081289177,"Cyanophyceae","Chroococcales","Microcystaceae","Microcystis",NA,"Microcystis","stemp"
"18S_ASV_412","brown",0.6311227233165,3.3529555724703e-06,0.0193294354832737,0.899709240069033,"Chytridiomycota","Rhizophydiales","Rhizophydiales_X","Rhizophydiales_XX","Rhizophydiales_XX_sp.","Opisthokonta_Chytridiomycota","stemp"
"16S_ASV_247","brown",0.533763638575284,0.000159421978126013,-0.00961879819521645,0.949997024274365,"Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,"stemp"
