,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species,Taxa
ASV_19,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_20,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-SarcomoNAdea,Pansomonadida,Pansomonadida_X,Pansomonadida_XX,Pansomonadida_XX_sp.,Rhizaria
ASV_21,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Spizellomycetales,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_22,Eukaryota,Obazoa,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,Chaetonotus,NA,Opisthokonta_Gastrotricha
ASV_23,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Hibberdiales,Hibberdiaceae,NA,NA,Stramenopiles
ASV_24,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_curvata,Cryptophyta
ASV_25,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Peronosporales,NA,NA,Stramenopiles
ASV_26,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_curvata,Cryptophyta
ASV_27,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Ankyra,Ankyra_judayi,Chlorophyta
ASV_28,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_curvata,Cryptophyta
ASV_29,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Komma,Komma_caudata,Cryptophyta
ASV_30,Eukaryota,TSAR,Rhizaria,Cercozoa,NA,NA,NA,NA,NA,Rhizaria
ASV_31,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Tetraedron,Tetraedron_minimum,Chlorophyta
ASV_32,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Eudiaptomus,Eudiaptomus_graciloides,Opisthokonta_Arthropoda
ASV_33,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiales_X,Rhizophydiales_XX,Rhizophydiales_XX_sp.,Opisthokonta_Chytridiomycota
ASV_34,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Synurales,Synuraceae,Mallomonas,Mallomonas_elongata,Stramenopiles
ASV_35,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,NA,NA,NA,NA,Stramenopiles
ASV_36,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_lunzensis,Chlorophyta
ASV_37,Eukaryota,TSAR,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Colpodellida_CHR1,Colpodellida_CHR1_X,Colpodellida_CHR1_X_sp.,Alveolata
ASV_38,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Darwinula,Darwinula_stevensoni,Opisthokonta_Arthropoda
ASV_39,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,NA,NA,Opisthokonta_Arthropoda
ASV_40,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Synurales,Synuraceae,Mallomonas,Mallomonas_caudata,Stramenopiles
ASV_41,Eukaryota,Obazoa,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,Chaetonotus,NA,Opisthokonta_Gastrotricha
ASV_42,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Atractomorpha,Atractomorpha_echinata,Chlorophyta
ASV_43,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Peronosporales,NA,NA,Stramenopiles
ASV_44,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Peronosporales,Pythiaceae,Pythiaceae_sp.,Stramenopiles
ASV_45,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,NA,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_46,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Zygophlyctidales,Zygophlyctidaceae,Zygophlyctis,Zygophlyctis_asterionellae,Opisthokonta_Chytridiomycota
ASV_47,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmaceae_X,Scenedesmaceae_X_sp.,Chlorophyta
ASV_48,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Saprolegniales,Saprolegniales_X,Saprolegniales_X_sp.,Stramenopiles
ASV_49,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadales_clade-X,Ochromonadales_clade-X_X,Ochromonadales_clade-X_X_sp.,Stramenopiles
ASV_50,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Imbricatea,NA,NA,NA,NA,Rhizaria
ASV_51,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,NA,NA,Chlorophyta
ASV_52,Eukaryota,Obazoa,Opisthokonta,Fungi,Zoopagomycota,Entomophthoromycotina,Entomophthorales,Entomophthora,Entomophthora_muscae,Opisthokonta_Zoopagomycota
ASV_53,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Peronosporales,Peronosporales_X,Peronosporales_X_sp.,Stramenopiles
ASV_54,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Komma,Komma_caudata,Cryptophyta
ASV_55,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Saprolegniales,Aphanomyces,Aphanomyces_sp.,Stramenopiles
ASV_56,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,NA,NA,NA,NA,Stramenopiles
ASV_57,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_lunzensis,Chlorophyta
ASV_58,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,Ceratium_hirundinella,Alveolata
ASV_59,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Rhodotorula,Rhodotorula_phylloplana,Opisthokonta_Basidiomycota
ASV_60,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Imbricatea,Filosa-Imbricatea_X,NA,NA,NA,Rhizaria
ASV_61,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiaceae,Rhizophydium,NA,Opisthokonta_Chytridiomycota
ASV_62,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae, Zygnemophyceae, ZygnemophyceaeX,NA,NA,Streptophyta
ASV_63,Eukaryota,Obazoa,Opisthokonta,Fungi,Rozellomycota,Rozellomycota_X,Rozellomycota_XX,Rozella,Rozella_allomycis,Opisthokonta_Rozellomycota
ASV_64,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Goniomonadales,Goniomonadales_X,Goniomonas,Goniomonas_truncata,Cryptophyta
ASV_65,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Branchiopoda,NA,NA,Opisthokonta_Arthropoda
ASV_66,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,Opisthokonta_Arthropoda
ASV_67,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Chlorellales,Chlorellales_X,Crucigenia,Crucigenia_pulchra,Chlorophyta
ASV_68,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Coelastrum,Coelastrum_astroideum,Chlorophyta
ASV_69,Eukaryota,TSAR,Stramenopiles,Bigyra,Opalozoa,Opalozoa_X,MAST-12,MAST-12C,MAST-12C_sp.,Stramenopiles
ASV_70,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,NA,NA,NA,NA,Cryptophyta
ASV_71,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_lunzensis,Chlorophyta
ASV_72,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Bicoecales,Bicoecaceae,Bicosoeca,Bicosoeca_petiolata,Stramenopiles
ASV_73,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Protodesmus,Protodesmus_globulifer,Chlorophyta
ASV_74,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,NA,NA,NA,NA,Opisthokonta_Choanoflagellatea
ASV_75,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadaceae,Poterioochromonas,Poterioochromonas_stipitata,Stramenopiles
ASV_76,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Plagioselmis,Plagioselmis_nannoplanctica,Cryptophyta
ASV_77,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_78,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,NA,NA,NA,NA,Stramenopiles
ASV_79,Eukaryota,TSAR,Stramenopiles,Bigyra,Opalozoa,Opalozoa_X,MAST-12,MAST-12_X,MAST-12_X_sp.,Stramenopiles
ASV_80,Eukaryota,Obazoa,Opisthokonta,Choanoflagellata,Choanoflagellatea,NA,NA,NA,NA,Opisthokonta_Choanoflagellatea
ASV_81,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_ovata,Cryptophyta
ASV_82,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_83,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiales_X,Rhizophydiales_XX,Rhizophydiales_XX_sp.,Opisthokonta_Chytridiomycota
ASV_84,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptophyceae_X,Basal_Cryptophyceae-1,Basal_Cryptophyceae-1_X,Basal_Cryptophyceae-1_X_sp.,Cryptophyta
ASV_85,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Chytridiales,Chytridiaceae,Chytridium,Chytridium_polysiphoniae,Opisthokonta_Chytridiomycota
ASV_86,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptophyceae_X,Basal_Cryptophyceae-1,Basal_Cryptophyceae-1_X,Basal_Cryptophyceae-1_X_sp.,Cryptophyta
ASV_87,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Imbricatea,Spongomonadida,Spongomonadidae,Spongomonas,Spongomonas_minima,Rhizaria
ASV_88,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Cypridopsis,Cypridopsis_japonica,Opisthokonta_Arthropoda
ASV_89,Eukaryota,Obazoa,Opisthokonta,Ichthyosporea,Ichthyophonida,Pseudoperkinsidae,Pseudoperkinsidae_X,Pseudoperkinsidae_XX,Pseudoperkinsidae_XX_sp.,Opisthokonta_Ichthyophonida
ASV_90,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_lunzensis,Chlorophyta
ASV_91,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Plagioselmis,Plagioselmis_nannoplanctica,Cryptophyta
ASV_92,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Saprolegniales,Aphanomyces,Aphanomyces_invadans,Stramenopiles
ASV_93,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_sp.,Chlorophyta
ASV_94,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Peronosporales,Peronosporales_X,Peronosporales_X_sp.,Stramenopiles
ASV_95,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,NA,NA,NA,NA,Stramenopiles
ASV_96,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.,Stramenopiles
ASV_97,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,NA,NA,NA,NA,Stramenopiles
ASV_98,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Radiococcus,Radiococcus_polycoccus,Chlorophyta
ASV_99,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Chlorellales,Chlorellales_X,Micractinium,Micractinium_reisseri,Chlorophyta
ASV_100,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadaceae,Chlorochromonas,Chlorochromonas_sp.,Stramenopiles
ASV_101,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,Opisthokonta_Arthropoda
ASV_102,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiales_X,Rhizophydiales_XX,Rhizophydiales_XX_sp.,Opisthokonta_Chytridiomycota
ASV_103,Eukaryota,Obazoa,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,Chaetonotus,Chaetonotus_sp.,Opisthokonta_Gastrotricha
ASV_104,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Bicoecales,Bicoecaceae,Bicoecaceae_X,Bicoecaceae_X_sp.,Stramenopiles
ASV_105,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Chlorellales,Chlorellales_X,Amphikrikos,Amphikrikos_sp.,Chlorophyta
ASV_106,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiales_X,Rhizophydiales_XX,Rhizophydiales_XX_sp.,Opisthokonta_Chytridiomycota
ASV_107,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Peronosporales,Peronosporales_X,Peronosporales_X_sp.,Stramenopiles
ASV_108,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,NA,Cryptophyta
ASV_109,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Paraphysomonadales,Paraphysomonadaceae,Paraphysomonas,Paraphysomonas_vulgaris,Stramenopiles
ASV_110,Eukaryota,Obazoa,Opisthokonta,NA,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_111,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Ankyra,Ankyra_judayi,Chlorophyta
ASV_112,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_pyrenoidifera,Cryptophyta
ASV_113,Eukaryota,Obazoa,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,Lepidodermella,Lepidodermella_squamata,Opisthokonta_Gastrotricha
ASV_114,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,NA,NA,Chlorophyta
ASV_115,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Pediastrum,Pediastrum_duplex,Chlorophyta
ASV_116,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-SarcomoNAdea,Pansomonadida,Pansomonadida_X,Pansomonadida_XX,Pansomonadida_XX_sp.,Rhizaria
ASV_117,Eukaryota,TSAR,Rhizaria,Cercozoa,Novel-clade-10-12,Novel-clade-10,Novel-clade-10_X,Novel-clade-10_XX,Novel-clade-10_XX_sp.,Rhizaria
ASV_118,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Oedogoniales,Oedogoniales_X,Oedogonium,Oedogonium_sp.,Chlorophyta
ASV_119,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.,Stramenopiles
ASV_120,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Bicoecales,Bicoecaceae,Bicoecaceae_X,Bicoecaceae_X_sp.,Stramenopiles
ASV_121,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiales_X,Rhizophydiales_XX,Rhizophydiales_XX_sp.,Opisthokonta_Chytridiomycota
ASV_122,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Horreolanus,Horreolanus_orphanus,Opisthokonta_Arthropoda
ASV_123,Eukaryota,TSAR,Stramenopiles,Gyrista,Eustigmatophyceae,Eustigmatophyceae_X,Eustigmatophyceae_XX,NA,NA,Stramenopiles
ASV_124,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiales_X,Rhizophydiales_XX,Rhizophydiales_XX_sp.,Opisthokonta_Chytridiomycota
ASV_125,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Oedogoniales,Oedogoniales_X,Oedogonium,Oedogonium_sp.,Chlorophyta
ASV_126,Eukaryota,Obazoa,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,Chaetonotus,NA,Opisthokonta_Gastrotricha
ASV_127,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptophyceae_X,Basal_Cryptophyceae-1,Basal_Cryptophyceae-1_X,Basal_Cryptophyceae-1_X_sp.,Cryptophyta
ASV_128,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,NA,NA,Chlorophyta
ASV_129,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae, Zygnemophyceae, ZygnemophyceaeX,Actinotaenium,Actinotaenium_cruciferum,Streptophyta
ASV_130,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_131,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-SarcomoNAdea,Cercomonadida,Cercomonadidae,Cercomonas,Cercomonas_sp.,Rhizaria
ASV_132,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Monomastigales,Monomastigaceae,Monomastix,Monomastix_minuta,Chlorophyta
ASV_133,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Imbricatea,Filosa-Imbricatea_X,Novel-clade-2,Novel-clade-2_X,Novel-clade-2_X_sp.,Rhizaria
ASV_134,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,NA,NA,NA,Stramenopiles
ASV_135,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptophyceae_X,Basal_Cryptophyceae-1,Basal_Cryptophyceae-1_X,Basal_Cryptophyceae-1_X_sp.,Cryptophyta
ASV_136,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Bicoecales,Bicoecaceae,Bicoecaceae_X,Bicoecaceae_X_sp.,Stramenopiles
ASV_137,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiaceae,Rhizophydium,NA,Opisthokonta_Chytridiomycota
ASV_138,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Chromulinales,Chrysosphaerellaceae,Chrysosphaerella,Chrysosphaerella_brevispina,Stramenopiles
ASV_139,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_obovoidea,Cryptophyta
ASV_140,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae, Zygnemophyceae, ZygnemophyceaeX,Closterium,NA,Streptophyta
ASV_141,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Tetraedron,Tetraedron_minimum,Chlorophyta
ASV_142,Eukaryota,TSAR,Stramenopiles,Bigyra,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Adriamonas,Adriamonas_peritocrescens,Stramenopiles
ASV_143,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae, Zygnemophyceae, ZygnemophyceaeX,Closterium,Closterium_sp.,Streptophyta
ASV_144,Eukaryota,Obazoa,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,Chaetonotus,NA,Opisthokonta_Gastrotricha
ASV_145,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_146,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Spizellomycetales,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_147,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,NA,NA,NA,NA,Chlorophyta
ASV_148,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_sp.,Chlorophyta
ASV_149,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Gonium,Gonium_pectorale,Chlorophyta
ASV_150,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Tetrabaena,Tetrabaena_socialis,Chlorophyta
ASV_151,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiaceae,Rhizophydium,Rhizophydium_sp.,Opisthokonta_Chytridiomycota
ASV_152,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,NA,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_153,Eukaryota,Obazoa,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,Heterolepidoderma,Heterolepidoderma_sp.,Opisthokonta_Gastrotricha
ASV_154,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_curvata,Cryptophyta
ASV_155,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Trebouxiophyceae,Chlorellales,Chlorellales_X,Oocystella,Oocystella_oogama,Chlorophyta
ASV_156,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Zygophlyctidales,Zygophlyctidaceae,Zygophlyctis,Zygophlyctis_melosirae,Opisthokonta_Chytridiomycota
ASV_157,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,NA,NA,Chlorophyta
