SampleID,Lake,Year,Date,Stemp,Btemp,SpH,BpH,SDO,BDO,MC,NO3,PO4,N:P
LM-8-4-23,Lake Mohegan,2023,8/4/2023,24.39,,8.01,,6.8,,0.44,0.59,0.23,2.57
LM-8-12-23,Lake Mohegan,2023,8/12/2023,24.08,,7.84,,5.26,,,0.89,0.32,2.78
LM-8-18-23,Lake Mohegan,2023,8/18/2023,24.84,,7.63,,6.38,,,0.52,0.29,1.79
LM-8-26-23,Lake Mohegan,2023,8/26/2023,24.42,,7.76,,5.49,,,0.74,0.49,1.51
LM-9-1-23,Lake Mohegan,2023,9/1/2023,23.72,,8.12,,7.31,,0.26,1.38,0.62,2.23
LM-9-9-23,Lake Mohegan,2023,9/9/2023,25.37,,7.75,,6.77,,0.49,1.13,0.51,2.22
LM-9-16-23,Lake Mohegan,2023,9/16/2023,22.16,,8.01,,4.49,,0.17,2.95,1.06,2.78
LR-6-1-23,Lake Rippowam,2023,6/1/2023,22.21,21.07,7.94,6.63,8.04,5.41,0.91,0.98,0.13,7.54
LR-6-8-23,Lake Rippowam,2023,6/8/2023,20.21,18.96,8.52,7.43,9.17,6.02,0.29,0.93,,
LR-6-16-23,Lake Rippowam,2023,6/16/2023,22.11,21.52,8.87,8.24,9.1,6.38,0.27,0.6,,
LR-6-19-23,Lake Rippowam,2023,6/19/2023,23.54,21.91,7.76,6.58,8.37,6.84,0.18,0.61,,
LR-7-8-23,Lake Rippowam,2023,7/8/2023,28.01,27.73,7.87,7.08,7.42,4.94,0.24,2.13,,
LR-7-14-23,Lake Rippowam,2023,7/14/2023,26.78,26.44,8.48,7.51,8.57,5.76,0.24,1,,
LR-7-22-23,Lake Rippowam,2023,7/22/2023,25.88,25.47,7.91,6.65,8.97,6.02,0.56,0.79,,
LR-7-28-23,Lake Rippowam,2023,7/28/2023,27.81,26.65,8.58,6.92,9.93,6.01,1.28,0.53,,
LR-8-4-23,Lake Rippowam,2023,8/4/2023,24.03,23.87,8.77,7.52,8.65,5.95,7.98,0.46,,
LR-8-12-23,Lake Rippowam,2023,8/12/2023,24.12,23.97,8.33,6.58,7.88,5.24,5.14,2.13,,
LR-8-18-23,Lake Rippowam,2023,8/18/2023,24.3,23.4,7.85,7.72,7.53,5.33,0.96,0.42,,
LR-8-26-23,Lake Rippowam,2023,8/26/2023,23.21,22.62,8.18,6.68,8.41,4.96,0.46,0.84,,
LR-9-1-23,Lake Rippowam,2023,9/1/2023,23.97,23.09,8.17,6.89,8.43,6.22,1,0.53,,
LR-9-9-23,Lake Rippowam,2023,9/9/2023,25.73,25.16,8.16,7.8,9.49,5.52,1.47,0.36,,
LR-9-16-23,Lake Rippowam,2023,9/16/2023,21.23,20.13,7.74,7.05,6.85,5.52,8.29,0.86,,
TTL-6-1-23,Teatown Lake,2023,6/1/2023,20.27,20.51,6.12,6.21,6.18,5.87,0.46,0.4,0.14,2.86
TTL-6-8-23,Teatown Lake,2023,6/8/2023,17.85,17.41,9.14,7.92,7.06,2.34,0.27,0.7,0.21,3.33
TTL-6-16-23,Teatown Lake,2023,6/16/2023,21.19,20.63,5.77,6.22,5.29,1.47,0.39,0.55,0.19,2.89
TTL-6-19-23,Teatown Lake,2023,6/19/2023,22.65,21.9,8.82,8.31,6.76,2.84,0.23,0.61,0.19,3.21
TTL-7-8-23,Teatown Lake,2023,7/8/2023,26.75,25.43,8.54,6.73,1.52,0.47,0.22,1.24,0.26,4.77
TTL-7-14-23,Teatown Lake,2023,7/14/2023,25.28,23.55,8.38,7.23,6.37,0.91,0.44,0.96,,
TTL-7-22-23,Teatown Lake,2023,7/22/2023,25.84,25.23,7.72,6.55,8.84,5.13,0.46,0.56,,
TTL-7-28-23,Teatown Lake,2023,7/28/2023,27.61,24.73,9.16,7.89,7.66,1.01,0.44,0.51,,
TTL-8-4-23,Teatown Lake,2023,8/4/2023,22.91,22.86,8.3,7.84,3.72,1.39,0.43,0.46,,
TTL-8-12-23,Teatown Lake,2023,8/12/2023,23.61,23.01,7.29,6.4,8.27,3.72,0.43,0.64,,
TTL-8-18-23,Teatown Lake,2023,8/18/2023,23.79,23.05,8.17,6.49,7.68,4.2,,0.43,,
TTL-8-26-23,Teatown Lake,2023,8/26/2023,23.33,21.4,7.93,6.27,6.45,0.31,,0.51,0.15,3.4
TTL-9-1-23,Teatown Lake,2023,9/1/2023,23.06,22.17,7.01,6.65,8.65,1.02,,0.58,,
TTL-9-9-23,Teatown Lake,2023,9/9/2023,25.19,24.53,8.64,5.96,8.78,3.82,0.24,0.49,,
TTL-9-16-23,Teatown Lake,2023,9/16/2023,20.24,20.08,7.22,6.41,8.91,5.73,0.27,0.61,,
